Date,SPX,GS1M,,,Data description
,,,,,
01/01/2014,1782.589966,0.02,,,SPX: montly adjusted close for the S&P500 index
,,,,,
01/02/2014,1859.449951,0.05,,,GS1M: 1-month constant maturity annualized Treasury yield
,,,,,
01/03/2014,1872.339966,0.05,,,
,,,,,
01/04/2014,1883.949951,0.02,,,
,,,,,
01/05/2014,1923.569946,0.03,,,
,,,,,
01/06/2014,1960.22998,0.02,,,
,,,,,
01/07/2014,1930.670044,0.02,,,
,,,,,
01/08/2014,2003.369995,0.03,,,
,,,,,
01/09/2014,1972.290039,0.01,,,
,,,,,
01/10/2014,2018.050049,0.02,,,
,,,,,
01/11/2014,2067.560059,0.04,,,
,,,,,
01/12/2014,2058.899902,0.03,,,
,,,,,
01/01/2015,1994.98999,0.02,,,
,,,,,
01/02/2015,2104.5,0.02,,,
,,,,,
01/03/2015,2067.889893,0.02,,,
,,,,,
01/04/2015,2085.51001,0.02,,,
,,,,,
01/05/2015,2107.389893,0.01,,,
,,,,,
01/06/2015,2063.110107,0.01,,,
,,,,,
01/07/2015,2103.840088,0.03,,,
,,,,,
01/08/2015,1972.180054,0.04,,,
,,,,,
01/09/2015,1920.030029,0.01,,,
,,,,,
01/10/2015,2079.360107,0.01,,,
,,,,,
01/11/2015,2080.409912,0.07,,,
,,,,,
01/12/2015,2043.939941,0.17,,,
,,,,,
01/01/2016,1940.23999,0.23,,,
,,,,,
01/02/2016,1932.22998,0.26,,,
,,,,,
01/03/2016,2059.73999,0.25,,,
,,,,,
01/04/2016,2065.300049,0.19,,,
,,,,,
01/05/2016,2096.949951,0.23,,,
,,,,,
01/06/2016,2098.860107,0.22,,,
,,,,,
01/07/2016,2173.600098,0.26,,,
,,,,,
01/08/2016,2170.949951,0.26,,,
,,,,,
01/09/2016,2168.27002,0.19,,,
,,,,,
01/10/2016,2126.149902,0.24,,,
,,,,,
01/11/2016,2198.810059,0.3,,,
,,,,,
01/12/2016,2238.830078,0.42,,,
,,,,,
01/01/2017,2278.870117,0.5,,,
,,,,,
01/02/2017,2363.639893,0.48,,,
,,,,,
01/03/2017,2362.719971,0.66,,,
,,,,,
01/04/2017,2384.199951,0.75,,,
,,,,,
01/05/2017,2411.800049,0.73,,,
,,,,,
01/06/2017,2423.409912,0.84,,,
,,,,,
01/07/2017,2470.300049,0.97,,,
,,,,,
